state_index,snr_db,delta_near,delta_far,sigma_n2,eta,relay_alpha_2_selected_relay,relay_alpha_2_gain,relay_alpha_2_optimal_rho,relay_alpha_2_min_avg_pep,relay_alpha_3_selected_relay,relay_alpha_3_gain,relay_alpha_3_optimal_rho,relay_alpha_3_min_avg_pep,lambda_1_optimal_rho,lambda_1_min_avg_pep
1442,10.886583878715792,0.059027108886240666,0.10927375555139131,0.801019407243623,0.6947743863040359,2,0.5534745792215365,0.26,0.11022451356204926,2,1.6162115555839178,0.179,0.08469218256175193,0.214,0.0941998071094528
1443,15.079653153221274,0.14374442501488557,0.745595299796552,0.8582635316271262,0.7876373585618879,3,1.682351788535784,0.127,0.17651787603069563,3,9.770821320989343,0.058,0.16893291914478273,0.158,0.1804935878220684
1444,16.02596976432829,0.004586863678731437,0.015014982083940781,0.7197743607773407,0.9304300523732433,2,5.910145030416824,0.052000000000000005,0.00941122727602911,2,47.390085520505636,0.019000000000000003,0.008381213205134908,0.117,0.012097918140923647
1445,7.198573414436143,0.07599039834108685,0.1999605121813394,0.6719333652801428,0.7414985386105902,7,0.15342904470459515,0.41000000000000003,0.32784103512353724,5,0.7438728783707689,0.32,0.23735055250182183,0.298,0.22338289410652373
1446,4.721221399799433,0.013858373759738205,0.03206279156097084,0.821817538021884,0.8476306484303503,8,0.27332763492683915,0.384,0.35139803307658884,8,0.6359247864926159,0.343,0.3067232228523296,0.315,0.28399750197863005
1447,5.327220056023893,0.03651548523724153,0.07715165353990729,0.58433280487284,0.94746815671667,5,0.22704614250349944,0.396,0.35426982964358794,5,0.5309264961533959,0.358,0.3074859567286508,0.32,0.2740599598662472
1448,1.6217718736490094,0.0018602101574013295,0.05996766324808285,0.9985274660994914,0.9201628916419947,3,0.1106040606344723,0.405,0.4494765435588704,3,0.2599680622203762,0.394,0.425734574275879,0.35100000000000003,0.3756215052985532
1449,33.62013218248422,0.07811337507530329,0.8144499965091603,0.5779784449116085,0.77695181654813,3,0.9340206717624833,0.030000000000000002,0.15406048263427488,3,4.592349332852457,0.014000000000000002,0.1532939495690715,0.029,0.15401353927676026
1450,35.5727903434773,0.007432892573197496,0.020675510526056387,0.7967347084713664,0.9656892371610952,3,1.3109534636293307,0.014000000000000002,1.3123036150863854e-05,3,6.149828109155686,0.006,1.2874019296060801e-05,0.016,1.3191118258565337e-05
1451,0.7537419491015215,0.020584363130860074,0.18639201193554264,0.7878890640324302,0.8591604404813691,1,0.30237104703045947,0.399,0.446558005621282,1,0.9858796250912472,0.375,0.41170287218134993,0.374,0.4112172891352558
1452,30.679050245513245,0.40545260513884473,0.42945347645612525,0.7157216427326747,0.8893391714552282,8,0.3202183271098154,0.058,0.1754236042610478,8,1.9772379476078192,0.024,0.17143370428570062,0.033,0.17251892600250865
1453,39.1218156964883,0.026758942167769553,0.06383220481849111,0.8557232527268557,0.867887621899219,1,1.8074314482698397,0.009000000000000001,0.0005702513291501732,1,15.291249574344226,0.003,0.0005638574038118183,0.012,0.000573643190583395
1454,26.241040434966667,0.6600343926562942,0.9997922347410158,0.5599792156001293,0.8349204700058163,1,2.5947340455486407,0.04,0.30397135854037066,1,25.47687735581103,0.013000000000000001,0.3014906072288516,0.063,0.3062005893096737
1455,2.1656192111013293,0.04275838238215975,0.08555935442301899,0.5524109019313398,0.8545522524078807,6,0.38339339628685815,0.398,0.4237785045265042,6,1.1614522417741293,0.367,0.3817136736644071,0.373,0.38790196792368103
1456,19.377942043213476,0.6654255111574713,0.9271602304578881,0.9340717693804749,0.9006770268930447,8,1.0047990030330465,0.099,0.3059586001575168,8,7.920454844601316,0.038,0.29954307154142035,0.099,0.30598254286344956
1457,30.8028812775706,0.05299052653251671,0.1408711137661288,0.5545454034093091,0.9898553628793051,5,0.9471213938826476,0.036000000000000004,0.00923620880683168,5,4.615219172095486,0.017,0.00894174060649608,0.035,0.009221527118070644
1458,17.34349425900034,0.016709259523069814,0.04771168451907649,0.5468959151498483,0.7973803076271707,3,1.8393613410891683,0.097,0.008132007662839585,3,13.247784663149682,0.038,0.00658158188684374,0.126,0.009152821516413445
1459,28.76746021165576,0.016456759981711797,0.042191197085389855,0.9977050219311067,0.8439399408777034,6,1.4437185054767416,0.027000000000000003,0.00024578260530452867,6,8.433078055567183,0.011,0.0002358570170923613,0.032,0.00024930061407774096
1460,35.55123503884118,0.028369714832623554,0.3838998690733171,0.5914103673523793,0.9858475306649293,5,0.5821956347008841,0.026000000000000002,0.07697272046455245,5,2.7461057696076545,0.012,0.07619745325482757,0.02,0.07663131800421588
1461,0.8774564909471032,0.009251442850254588,0.056001628966728396,0.8536056075207213,0.6371415227691184,8,0.19414945179629955,0.404,0.45867944293493546,8,0.625003067101258,0.389,0.42968534274155673,0.378,0.41458492993719476
1462,5.420574932663094,0.10919862351473456,0.11986956297768,0.7544160269617545,0.7040218099811384,2,0.37877140186139174,0.379,0.32914139929749375,2,1.2993175461639705,0.306,0.26507027170411174,0.324,0.2776173236626662
1463,6.40582196085442,0.39933581042374056,0.623569796902898,0.6961657172464581,0.8415794726535436,7,0.5307967701827301,0.38,0.34774241372660086,7,1.72855224114412,0.291,0.3082414025884139,0.334,0.32498831984000853
1464,20.207418792828648,0.06947754953022454,0.15785552853235185,0.7536647570540207,0.9519944525420716,8,0.08043945205050769,0.252,0.031156797531143615,8,0.1226351668974604,0.217,0.027866309493176367,0.09,0.02024751576573458
1465,39.06023124996031,0.027356990936026837,0.03182865420337819,0.5607827439189226,0.8208487568253894,5,1.2903242404054247,0.013000000000000001,6.497588910717167e-05,5,8.107679929085876,0.005,6.389373718210245e-05,0.015,6.522394706817702e-05
1466,25.454907327795016,0.025165678408959963,0.025925463652379913,0.8113535905652224,0.687143122877264,5,4.910395590905449,0.023,0.00031341662422518235,5,42.53588764492981,0.008,0.0002978425211576652,0.05,0.00034437521781080505
1467,22.299952377083944,0.040206694351522076,0.11899155076897898,0.9369307304204131,0.8247969324319171,3,0.2980219018167369,0.121,0.009308325086074681,3,1.2777091292713316,0.062,0.008081731913349571,0.07,0.008221657393334914
1468,24.01838587782247,0.06677584345345361,0.3167800151928688,0.9061272847660828,0.7804440145284115,2,0.5807535860016392,0.084,0.06328561892936829,2,2.5969487182206343,0.042,0.06063879391078786,0.065,0.06207866545509613
1469,14.533442760501677,0.005685263602152536,0.07042398467770386,0.5979710939363142,0.9776523481478723,4,1.3175996160649834,0.132,0.025276539199918235,4,5.81005065372433,0.068,0.020348977435581117,0.148,0.026824806887946473
1470,9.423982910603108,0.017223822601840594,0.020257452231880028,0.7618790002287406,0.9240879608294099,7,1.4388426559418084,0.192,0.10643596733997537,7,9.959310941816643,0.08600000000000001,0.07997908778560198,0.218,0.11548488859068856
1471,17.820004266727736,0.012939255981261754,0.02860330911876269,0.9249170472483051,0.7457554575593359,7,0.313448904980404,0.159,0.007965526983079951,7,0.9770457888645524,0.098,0.0060726853484754095,0.097,0.006047516238929712
1472,33.257945475044195,0.21474160810143578,0.23985885674082294,0.9661876527326332,0.8660462783259367,8,0.3331375623646157,0.037000000000000005,0.061362829517682654,8,1.356483661664901,0.019000000000000003,0.06000865242962164,0.022000000000000002,0.06022558285036386
1473,10.5247875644627,0.005714797367191427,0.026346599288870738,0.9029617159358734,0.7941540943773852,8,0.17224407619815257,0.331,0.1472385167683623,8,0.3574475443680778,0.275,0.11432770202664944,0.196,0.08531660707547126
1474,18.624851419259866,0.002115390037640795,0.01936321912117306,0.8804811389053949,0.8440267026210538,2,0.19396070117165223,0.17300000000000001,0.005969326235036099,3,0.6653122956541315,0.10200000000000001,0.004287603046198962,0.085,0.003985813823472739
1475,13.056936395904229,0.0661191262257324,0.5683513631574736,0.6941052401429512,0.9455805650593345,8,0.12953146111741828,0.34600000000000003,0.2049554408275161,8,0.33822132123494847,0.268,0.17703150367870574,0.185,0.15853807211708315
1476,29.442211548004973,0.41935015568540834,0.42704986505712444,0.9932691298346475,0.7657116093321269,8,0.7855794750890975,0.04,0.176303715017765,8,5.585453203008044,0.015,0.17350414463604769,0.035,0.17579198105697913
1477,5.787677017315146,0.019145496337024642,0.03287793886310842,0.5345500221357328,0.8914883604072119,3,0.6845202580537011,0.34400000000000003,0.28268023145271914,3,2.478959347365113,0.255,0.22137585262317366,0.32,0.26240139377292415
1478,4.5486402630365355,0.4226376902782148,0.5429113982972087,0.9978014459306676,0.8591534006960189,3,1.8378857140290157,0.292,0.3229239141572371,3,9.390497567675354,0.17,0.28782533326698023,0.338,0.3422440014174768
1479,18.325892384374367,0.023847105879037215,0.0995731415697154,0.7772161965928216,0.8413448204542799,5,0.4450405215254846,0.147,0.012776323238126414,5,2.531428227998675,0.068,0.009959562278482464,0.10400000000000001,0.011082573552642028
1480,18.76481028936867,0.09441376907257672,0.5284231087771626,0.9763451228476527,0.7042071609391033,1,0.8755597904014969,0.11900000000000001,0.12566849325708906,1,3.6734697163621712,0.062,0.12074118928088923,0.112,0.12504062070542826
1481,19.921260464680053,0.02595746934231728,0.06484443237739794,0.5263519212170403,0.830788680637359,1,0.2881158709166266,0.17300000000000001,0.0061725218295775874,1,0.5354929395944831,0.134,0.005248485123066832,0.10200000000000001,0.004651007710428978
1482,21.76588192509641,0.06093962607540495,0.07815178931336118,0.6757407218816304,0.7629556508946778,1,1.3106783746286619,0.074,0.00467649253108901,1,7.158687673285364,0.033,0.004174373632359563,0.084,0.004813288550472278
1483,5.890139689895214,0.020177944553102907,0.11091255915705273,0.8960708188187626,0.9920029947908641,2,0.9271874966987227,0.281,0.23606569588736706,2,5.037624156052232,0.16,0.18317943853288038,0.276,0.23284447155272356
1484,22.821797782873308,0.03554213292979695,0.06698383093962453,0.5654457091247014,0.8207004789680726,8,0.7107070587715426,0.091,0.002513514047377652,8,2.223730508045455,0.053000000000000005,0.0022400715126380255,0.078,0.0024109711644083875
1485,15.12101900354031,0.010920565360942908,0.9516926166195875,0.7242286848286724,0.8514990091360246,8,1.2466231026277617,0.14500000000000002,0.18113219373702713,8,9.29273195630212,0.061,0.17426327090226462,0.159,0.18243351178299988
1486,14.274674421772193,0.03547387343743987,0.08042910665253346,0.9110684181683824,0.7002128959095651,7,1.306123036114649,0.132,0.02941700056829355,7,10.46565201621259,0.052000000000000005,0.022762907191907433,0.148,0.031072225633616002
