SNR_dB,rho,Near_user_PEP,Far_user_PEP,Average_PEP,kappa,selected_relay,selected_relay_gain
5.00000,0.48869,0.31588,0.31964,0.31776,2.00000,2.00000,0.43179
5.00000,0.49322,0.31630,0.32005,0.31818,2.00000,2.00000,0.43179
5.00000,0.49774,0.31674,0.32047,0.31861,2.00000,2.00000,0.43179
5.00000,0.50226,0.31719,0.32090,0.31905,2.00000,2.00000,0.43179
5.00000,0.50678,0.31765,0.32135,0.31950,2.00000,2.00000,0.43179
5.00000,0.51131,0.31813,0.32181,0.31997,2.00000,2.00000,0.43179
5.00000,0.51583,0.31862,0.32227,0.32045,2.00000,2.00000,0.43179
5.00000,0.52035,0.31912,0.32276,0.32094,2.00000,2.00000,0.43179
5.00000,0.52487,0.31963,0.32325,0.32144,2.00000,2.00000,0.43179
5.00000,0.52940,0.32016,0.32376,0.32196,2.00000,2.00000,0.43179
5.00000,0.53392,0.32070,0.32428,0.32249,2.00000,2.00000,0.43179
5.00000,0.53844,0.32125,0.32481,0.32303,2.00000,2.00000,0.43179
5.00000,0.54296,0.32181,0.32535,0.32358,2.00000,2.00000,0.43179
5.00000,0.54749,0.32239,0.32591,0.32415,2.00000,2.00000,0.43179
5.00000,0.55201,0.32297,0.32648,0.32473,2.00000,2.00000,0.43179
5.00000,0.55653,0.32357,0.32706,0.32532,2.00000,2.00000,0.43179
5.00000,0.56106,0.32419,0.32765,0.32592,2.00000,2.00000,0.43179
5.00000,0.56558,0.32481,0.32826,0.32654,2.00000,2.00000,0.43179
5.00000,0.57010,0.32545,0.32888,0.32717,2.00000,2.00000,0.43179
5.00000,0.57462,0.32611,0.32951,0.32781,2.00000,2.00000,0.43179
5.00000,0.57915,0.32677,0.33015,0.32846,2.00000,2.00000,0.43179
5.00000,0.58367,0.32745,0.33081,0.32913,2.00000,2.00000,0.43179
5.00000,0.58819,0.32814,0.33148,0.32981,2.00000,2.00000,0.43179
5.00000,0.59271,0.32884,0.33216,0.33050,2.00000,2.00000,0.43179
5.00000,0.59724,0.32956,0.33286,0.33121,2.00000,2.00000,0.43179
5.00000,0.60176,0.33029,0.33357,0.33193,2.00000,2.00000,0.43179
5.00000,0.60628,0.33104,0.33429,0.33266,2.00000,2.00000,0.43179
5.00000,0.61080,0.33179,0.33503,0.33341,2.00000,2.00000,0.43179
5.00000,0.61533,0.33256,0.33577,0.33417,2.00000,2.00000,0.43179
5.00000,0.61985,0.33335,0.33654,0.33494,2.00000,2.00000,0.43179
5.00000,0.62437,0.33415,0.33731,0.33573,2.00000,2.00000,0.43179
5.00000,0.62889,0.33496,0.33810,0.33653,2.00000,2.00000,0.43179
5.00000,0.63342,0.33579,0.33891,0.33735,2.00000,2.00000,0.43179
5.00000,0.63794,0.33663,0.33972,0.33817,2.00000,2.00000,0.43179
5.00000,0.64246,0.33748,0.34056,0.33902,2.00000,2.00000,0.43179
5.00000,0.64698,0.33835,0.34140,0.33988,2.00000,2.00000,0.43179
5.00000,0.65151,0.33923,0.34226,0.34075,2.00000,2.00000,0.43179
5.00000,0.65603,0.34013,0.34314,0.34163,2.00000,2.00000,0.43179
5.00000,0.66055,0.34105,0.34403,0.34254,2.00000,2.00000,0.43179
5.00000,0.66508,0.34198,0.34493,0.34345,2.00000,2.00000,0.43179
5.00000,0.66960,0.34292,0.34585,0.34439,2.00000,2.00000,0.43179
5.00000,0.67412,0.34388,0.34679,0.34533,2.00000,2.00000,0.43179
5.00000,0.67864,0.34486,0.34774,0.34630,2.00000,2.00000,0.43179
5.00000,0.68317,0.34585,0.34870,0.34727,2.00000,2.00000,0.43179
5.00000,0.68769,0.34685,0.34969,0.34827,2.00000,2.00000,0.43179
5.00000,0.69221,0.34788,0.35068,0.34928,2.00000,2.00000,0.43179
5.00000,0.69673,0.34892,0.35170,0.35031,2.00000,2.00000,0.43179
5.00000,0.70126,0.34998,0.35273,0.35135,2.00000,2.00000,0.43179
5.00000,0.70578,0.35105,0.35378,0.35241,2.00000,2.00000,0.43179
5.00000,0.71030,0.35214,0.35484,0.35349,2.00000,2.00000,0.43179
5.00000,0.71482,0.35325,0.35593,0.35459,2.00000,2.00000,0.43179
5.00000,0.71935,0.35438,0.35703,0.35570,2.00000,2.00000,0.43179
5.00000,0.72387,0.35553,0.35815,0.35684,2.00000,2.00000,0.43179
5.00000,0.72839,0.35669,0.35929,0.35799,2.00000,2.00000,0.43179
5.00000,0.73291,0.35788,0.36044,0.35916,2.00000,2.00000,0.43179
5.00000,0.73744,0.35908,0.36162,0.36035,2.00000,2.00000,0.43179
5.00000,0.74196,0.36030,0.36281,0.36156,2.00000,2.00000,0.43179
5.00000,0.74648,0.36155,0.36403,0.36279,2.00000,2.00000,0.43179
5.00000,0.75101,0.36281,0.36526,0.36404,2.00000,2.00000,0.43179
5.00000,0.75553,0.36409,0.36652,0.36531,2.00000,2.00000,0.43179
5.00000,0.76005,0.36540,0.36780,0.36660,2.00000,2.00000,0.43179
5.00000,0.76457,0.36673,0.36910,0.36791,2.00000,2.00000,0.43179
5.00000,0.76910,0.36808,0.37042,0.36925,2.00000,2.00000,0.43179
